zip_code,city,date,max_temp_f,min_temp_f,condition
75201,Dallas,2026-05-09,85.1,68.3,Patchy rain nearby
75201,Dallas,2026-05-10,80.0,62.4,Moderate rain
75201,Dallas,2026-05-11,78.9,56.1,Sunny
75201,Dallas,2026-05-12,83.3,59.2,Sunny
75201,Dallas,2026-05-13,89.2,65.8,Sunny
95101,San Jose,2026-05-06,77.5,54.9,Partly Cloudy
95101,San Jose,2026-05-07,78.2,51.0,Partly Cloudy
95101,San Jose,2026-05-08,76.3,49.8,Sunny
95101,San Jose,2026-05-09,82.1,49.0,Sunny
95101,San Jose,2026-05-10,85.8,49.5,Sunny
95101,San Jose,2026-05-11,91.6,54.7,Sunny
95101,San Jose,2026-05-12,90.5,60.2,Sunny
78701,Austin,2026-05-07,74.2,59.0,Patchy rain nearby
78701,Austin,2026-05-08,80.8,64.7,Moderate rain
78701,Austin,2026-05-09,87.8,63.4,Moderate rain
78701,Austin,2026-05-10,91.8,67.6,Moderate rain
78701,Austin,2026-05-11,80.6,61.6,Patchy rain nearby
78701,Austin,2026-05-12,84.3,62.0,Sunny
78701,Austin,2026-05-13,83.6,64.4,Sunny
30301,Atlanta,2026-05-07,74.9,62.3,Heavy rain
30301,Atlanta,2026-05-08,71.4,54.3,Overcast
30301,Atlanta,2026-05-09,70.9,58.7,Moderate rain
30301,Atlanta,2026-05-10,72.4,64.2,Heavy rain
30301,Atlanta,2026-05-11,71.6,59.6,Patchy rain nearby
30301,Atlanta,2026-05-12,74.2,52.3,Sunny
30301,Atlanta,2026-05-13,81.4,56.6,Sunny
28201,Charlotte,2026-05-07,70.6,57.8,Heavy rain
28201,Charlotte,2026-05-08,69.8,48.4,Sunny
28201,Charlotte,2026-05-09,79.7,55.3,Patchy rain nearby
28201,Charlotte,2026-05-10,66.9,61.5,Moderate rain
28201,Charlotte,2026-05-11,70.8,54.4,Patchy rain nearby
28201,Charlotte,2026-05-12,69.5,48.1,Sunny
28201,Charlotte,2026-05-13,77.8,51.2,Sunny
80201,Denver,2026-05-07,67.0,32.6,Partly Cloudy
80201,Denver,2026-05-08,69.7,46.1,Sunny
80201,Denver,2026-05-09,75.8,50.4,Sunny
80201,Denver,2026-05-10,69.2,45.8,Sunny
80201,Denver,2026-05-11,84.8,53.4,Patchy rain nearby
80201,Denver,2026-05-12,84.9,60.6,Sunny
80201,Denver,2026-05-13,86.1,56.0,Sunny
37201,Nashville,2026-05-07,67.3,48.9,Patchy rain nearby
37201,Nashville,2026-05-08,72.0,46.8,Sunny
37201,Nashville,2026-05-09,73.7,54.2,Patchy rain nearby
37201,Nashville,2026-05-10,80.1,58.5,Patchy rain nearby
37201,Nashville,2026-05-11,66.9,53.5,Patchy rain nearby
37201,Nashville,2026-05-12,70.1,45.5,Sunny
37201,Nashville,2026-05-13,74.9,52.3,Patchy rain nearby
97201,Portland,2026-05-06,66.6,52.3,Overcast
97201,Portland,2026-05-07,70.3,45.9,Sunny
97201,Portland,2026-05-08,70.0,50.2,Partly Cloudy
97201,Portland,2026-05-09,73.7,47.8,Partly Cloudy
97201,Portland,2026-05-10,72.5,50.0,Sunny
97201,Portland,2026-05-11,72.8,47.5,Sunny
97201,Portland,2026-05-12,76.7,47.8,Sunny
89101,Las Vegas,2026-05-06,92.3,56.3,Sunny
89101,Las Vegas,2026-05-07,91.2,60.8,Sunny
89101,Las Vegas,2026-05-08,97.3,67.3,Sunny
89101,Las Vegas,2026-05-09,97.5,68.2,Sunny
89101,Las Vegas,2026-05-10,99.5,69.4,Sunny
89101,Las Vegas,2026-05-11,101.3,69.1,Sunny
89101,Las Vegas,2026-05-12,101.3,71.4,Sunny
63101,Saint Louis,2026-05-07,66.2,43.2,Sunny
63101,Saint Louis,2026-05-08,77.5,48.7,Moderate rain
63101,Saint Louis,2026-05-09,78.4,52.1,Sunny
63101,Saint Louis,2026-05-10,63.5,51.5,Cloudy
63101,Saint Louis,2026-05-11,64.5,44.9,Sunny
63101,Saint Louis,2026-05-12,74.4,47.9,Sunny
63101,Saint Louis,2026-05-13,79.1,60.7,Patchy rain nearby
